Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:42:28,2021-03-26 15:42:37,8.393s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:42:28,2021-03-26 15:42:31,2.269s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:42:31,2021-03-26 15:42:34,3.772s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:42:34,2021-03-26 15:42:35,0.855s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:42:35,2021-03-26 15:42:36,0.461s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:42:36,2021-03-26 15:42:37,1.026s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:42:37,2021-03-26 15:42:45,8.248s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:42:37,2021-03-26 15:42:39,2.438s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:42:39,2021-03-26 15:42:43,3.522s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:42:43,2021-03-26 15:42:43,0.813s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:42:43,2021-03-26 15:42:44,0.532s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:42:44,2021-03-26 15:42:45,0.932s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:42:45,2021-03-26 15:42:53,8.269s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:42:45,2021-03-26 15:42:47,2.285s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:42:47,2021-03-26 15:42:51,3.792s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:42:51,2021-03-26 15:42:52,0.880s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:42:52,2021-03-26 15:42:52,0.468s,PASSED
"verifyElementPresent(findTestObject(""Factorial Calculator/div_The factorial of 3 is 6""), 0)",Chrome 89.0.4389.90,,,2021-03-26 15:42:52,2021-03-26 15:42:53,0.834s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - general cases,Chrome 89.0.4389.90,,,2021-03-26 15:42:53,2021-03-26 15:43:02,8.218s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:42:53,2021-03-26 15:42:56,2.277s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:42:56,2021-03-26 15:42:59,3.660s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:42:59,2021-03-26 15:43:00,0.786s,PASSED
